docId,filename,0 lb term persname,1 lb choice rend,2 lb add del,3 seg rend fw,4 xml facs lry,5 lb term type,6 lb placename reg,7 choice expan abbr,8 seg rend date,9 lb xml id
466,liv_001631_TEI.xml,0.010602151947965726,8.428298358205654E-5,6.436423343841956E-5,0.006571452390773903,2.325917600104866E-6,2.0121363340188506E-4,0.4547423893476984,0.0039525371648569336,9.192606835269549E-5,0.5236873563123299
467,liv_001637_TEI.xml,4.982881458369112E-4,7.081574426385597E-5,0.04735914026424486,0.001316532146131618,1.954268571751109E-6,0.1515452562211648,0.2906244796333937,0.05483093193428416,7.723757122703635E-5,0.45367536407088127
468,liv_001638_TEI.xml,0.0722982972937045,7.21815655958085E-5,5.512276548012837E-5,0.04848785752595153,1.9919604964976293E-6,0.0012438217072099455,0.4751699935120801,1.7053326395548873E-4,7.872725016082018E-5,0.4024214731553652
469,liv_001641_TEI.xml,0.02279304974478128,1.2309237832535452E-4,9.400173363950644E-5,0.005942891591554655,3.396922095276434E-6,2.938655424177104E-4,0.23473328465441465,2.9081310263358296E-4,1.3425483890963476E-4,0.7355913494912283
470,liv_001647_TEI.xml,0.020874825871096285,0.013201928123533548,2.9442779767670047E-5,0.08999877627409437,1.0639679213014297E-6,0.35035224796367054,0.3156136647204907,0.0018080488969041185,4.20506675964019E-5,0.20807795073492497
471,liv_001650_TEI.xml,0.001626451080033476,7.433202521625651E-5,5.6765003084064806E-5,0.053242688412289095,2.0513057126603343E-6,0.045417716612434426,0.5080845882377781,1.756138533698693E-4,8.107272121152823E-5,0.3912387207488705
472,liv_001656_TEI.xml,0.048560150528093905,7.35468435451892E-4,3.5447898184051373E-5,0.051852690821480904,1.2809737002755318E-6,1.1081620970281844E-4,0.5929025015798501,1.0966513971196434E-4,5.062727756315388E-5,0.30564135113626084
473,liv_001664_TEI.xml,0.0019568056828683984,8.942988273541806E-5,6.829475659400338E-5,0.04414389708825086,2.467954139605314E-6,2.1350112294469043E-4,0.3590507816559839,2.1128344435512002E-4,0.016028031097796654,0.5782355073143314
474,liv_001671_TEI.xml,0.003796323543456757,1.7349948044886038E-4,1.3249603403257305E-4,6.50009415939919E-4,4.78798303090646E-6,4.1420532794103404E-4,0.10163754202022676,4.0990289489154235E-4,1.8923303875890068E-4,0.8925920002612727
475,liv_001676_TEI.xml,0.014414258139467296,0.005829848865801283,4.2436465637439785E-5,0.09589625040229201,1.533518182995239E-6,1.3266367023252113E-4,0.6264788634506443,1.3128566632776082E-4,6.060846579593618E-5,0.2570122513556184
476,liv_001677_TEI.xml,0.12475564107381594,0.0014094862292321217,6.793401584249351E-5,0.06503918355823128,2.4549181222679117E-6,2.123733854816649E-4,0.18812655731889105,2.1016742092521952E-4,0.060841345859931256,0.5593348562195266
477,liv_001679_TEI.xml,0.1652697324380643,0.004589294348357741,0.0011863672150199138,0.12214345925105555,2.097596348306385E-6,0.03515941980100832,0.23972657603996655,1.7957683014635414E-4,0.04521575139366884,0.38652772508636407
478,liv_001692_TEI.xml,0.0025084425916947145,0.06394517679997616,5.216059552144878E-5,0.06920236082052991,1.884917145348477E-6,0.2779767693922273,0.2671301021926202,1.613692006679414E-4,7.449662977513029E-5,0.3189472368598419
479,liv_001693_TEI.xml,3.8034041691689603E-4,0.004868409913732357,4.1278741375780225E-5,0.016250364053539447,1.4916817298533134E-6,0.20152963186269937,0.2057841038538671,0.28256996209462,0.024130738343770036,0.26444367903774907
480,liv_001696_TEI.xml,0.051200539967647646,4.2334086814804116E-5,0.07607210562419361,0.11516090959740594,1.1682737537531017E-6,0.0415773082983483,0.5068038880249593,7.284447153316283E-4,4.617309441113726E-5,0.20836712831713367
481,liv_001699_TEI.xml,0.16840182896207356,9.262700233930675E-5,7.073629513202744E-5,3.4702365410589777E-4,2.5561835358639934E-6,0.18309620792789344,0.1876367776097409,0.002968837945390656,1.0102675280898773E-4,0.4572823776669793
482,liv_001702_TEI.xml,0.0516869126459173,4.327847366987885E-4,4.263294450330925E-4,0.10714646819274039,7.537860754706475E-7,6.520954785601959E-5,0.6890816413117091,6.453220332442514E-5,0.003273553183364379,0.14782181494728108
483,liv_001703_TEI.xml,0.015885983267821382,9.326822162291161E-5,0.08591141205240524,0.021117212913021582,2.5738789608937815E-6,0.00714526026249773,0.3495399302651027,2.203517494444954E-4,1.0172612016866763E-4,0.5199822812689543
484,liv_001704_TEI.xml,0.061253617329417406,6.82335119339216E-5,5.210776248994951E-5,0.04684865009624323,1.8830079285169175E-6,1.628978030022919E-4,0.4299350834890265,1.6120575115252328E-4,0.02640960399129615,0.43510671725750955
485,liv_001706_TEI.xml,0.015178983027181871,1.2066701020237259E-4,9.214955715729011E-5,0.0022433146690812628,3.3299903593052603E-6,2.880753210512921E-4,0.2086133022159609,2.850830254470925E-4,1.316095296624055E-4,0.7730434856538962
486,liv_001713_TEI.xml,0.15908987063566543,6.072905386528501E-5,4.637684658699863E-5,0.049809568074737014,1.6759109516509153E-6,0.005553932767137355,0.39346786497473313,1.4347602032584788E-4,6.623618338308592E-5,0.3917602695326141
487,liv_001715_TEI.xml,0.01410652115675493,7.618134731967864E-5,5.817727154572416E-5,0.02968811394991113,2.102340579317905E-6,0.0013127453346096288,0.4822756426893999,1.7998298739735176E-4,8.308974650963985E-5,0.4722174431759727
488,liv_001717_TEI.xml,0.11601481706109641,9.59244051014199E-5,7.325441672788327E-5,0.07155681814599583,2.6471803989682337E-6,0.020164289321472854,0.15729373753663461,2.266271417072668E-4,0.04424703653012005,0.5903248482607447
489,liv_001721_TEI.xml,0.10983345629322487,9.675101607119765E-5,7.388567323020839E-5,0.00897979073381877,2.6699919906007723E-6,2.3097928729654536E-4,0.2864727172501618,2.2858005954070595E-4,1.0552474697214129E-4,0.5939756449476931
490,liv_001722_TEI.xml,0.05910328640560117,0.046773978445563844,5.112388629957366E-5,2.5080756353805376E-4,1.8474537888143332E-6,1.5982203727795468E-4,0.5351066354484879,1.5816193401796077E-4,7.301598442753766E-5,0.3583213208409971
491,liv_001729_TEI.xml,0.003425311095135301,9.326822162291161E-5,7.122597390111108E-5,0.010041059870633952,2.5738789608937815E-6,0.02514400895637763,0.025562453775264584,0.39342378475420536,1.0172612016866763E-4,0.5421345873537295
492,liv_001730_TEI.xml,0.005812218610301175,0.014483300941481973,0.008855032995654447,0.017368533728922678,7.465214623401187E-7,0.2799536369710356,0.35235624995765435,0.1795623435288084,2.9504391286577792E-5,0.1415784323533925
493,liv_001731_TEI.xml,0.08486801420908952,0.0010124186429032222,4.879626540494325E-5,0.0903489248188051,1.7633410119508844E-6,1.5254549513069482E-4,0.5107437500014231,1.5096097475993128E-4,6.96916375654924E-5,0.3126031346139059
494,liv_001734_TEI.xml,0.06381788340069892,6.993355465420009E-5,5.3406031035423577E-5,0.0023382593139627214,1.9299232027036244E-6,0.00847197971765873,0.43960881823936643,0.002241478029839419,7.62753814835004E-5,0.48332003640809795
495,liv_001739_TEI.xml,0.4651153296013228,0.10224107837369409,3.167236997624351E-5,0.04756122137774591,1.1445381826112927E-6,0.11091786138338862,0.08770884293923696,0.003176286127268904,4.523500540270728E-5,0.18320132828378108
496,liv_001744_TEI.xml,0.08570800207019187,6.525899867508209E-5,4.9836221336316464E-5,0.018650484244293553,1.8009216941853532E-6,0.0311553650950443,0.45672347807749514,1.5417828575298872E-4,0.005883596017286356,0.4016080000682301
497,liv_001745_TEI.xml,0.05026126084301978,0.0050509180513954085,6.38846623205303E-5,0.025149725634686444,2.3085874332713286E-6,0.03993781882334128,0.26632360307881325,0.01137398180428729,9.124113690850694E-5,0.6017452573777942
498,liv_001748_TEI.xml,0.047877528590890894,9.931859541835962E-5,7.584645190045448E-5,0.0018464273013882335,2.740848262405811E-6,0.014980447419425485,0.23215311154693127,2.3464611924614492E-4,1.083251636699957E-4,0.7026216079628668
499,liv_001749_TEI.xml,0.0019311686285257744,8.825821874056416E-5,6.739999407289797E-5,0.017362582708084648,2.4356202829806652E-6,0.038205001609974795,0.17616652973773744,0.24913667245420887,9.626179216512122E-5,0.5169436892362068
500,liv_001753_TEI.xml,0.06039842439294311,5.184829880090061E-5,3.959489644973324E-5,0.008660524502860726,1.4308329581035958E-6,0.025522610718324058,0.5622093084017421,0.0016618177528859306,5.655008943652623E-5,0.34139789011359867
501,liv_001756_TEI.xml,0.022622089560252585,5.756357531251805E-5,0.05900458956677918,2.1565981564614632E-4,1.588554738501828E-6,0.1052411567565079,0.19778561747784268,0.261613574333113,6.278364782438272E-5,0.35339537671198296
502,liv_001757_TEI.xml,0.030404914662140767,6.721232982227016E-5,5.1327918196071616E-5,0.03816565187163927,1.8548268491880173E-6,0.006146856194789781,0.5252694164059508,1.587931473643479E-4,0.005061970985181195,0.3946720016580662
503,liv_001762_TEI.xml,0.001187178823365709,1.6871955043146414E-4,1.288457535324829E-4,0.003136657167596396,4.656073564935699E-6,4.0279392500617406E-4,0.06627819382792777,3.98610024466566E-4,1.8401964745705534E-4,0.9281103252066514
504,liv_001764_TEI.xml,0.020012712725695,1.0005617645267035E-4,7.640971907319174E-5,3.7485678140893204E-4,2.7612029370541833E-6,0.035885658384463975,0.32299414796974646,2.3638869853456063E-4,1.0912963121129588E-4,0.6202078787104768
505,liv_001766_TEI.xml,0.06492239639514495,7.609529319156157E-5,5.811155474554617E-5,0.048857706568176125,2.0999657842804905E-6,0.03181034840608397,0.4049183534152284,1.7977967937509546E-4,8.299588868298115E-5,0.4490921128335871
506,liv_001767_TEI.xml,0.3152297415232558,0.004921387351104339,8.253943980976394E-5,0.032493625071399565,2.9827114454800874E-6,0.001862467277214954,0.0296227696051259,2.5535221161737453E-4,1.1788420028345272E-4,0.6154112506087434
507,liv_001768_TEI.xml,0.3677769097878092,9.262700233930675E-5,7.073629513202744E-5,0.04847204316376623,2.5561835358639934E-6,2.2113379118421153E-4,0.006136704030450541,2.188368305529234E-4,1.0102675280898773E-4,0.5769074261624207
508,liv_001772_TEI.xml,0.2324548082745437,5.6031448017323726E-5,4.278943443629451E-5,0.09669387536494455,1.5462733468135038E-6,1.3376711123851102E-4,0.2890052589514129,9.641358836710547E-4,0.03166792562563858,0.3489798616327502
509,liv_001778_TEI.xml,0.025754008072100012,5.693115419076521E-5,4.3476511420428516E-5,0.0019035183067619118,1.5711021121798034E-6,1.3591503173750495E-4,0.5699981147002202,1.3450325529470314E-4,0.02372528354638809,0.378246678319774
510,liv_001780_TEI.xml,0.13635274683809206,4.147399411299661E-5,3.167236997624351E-5,0.009390284802239721,1.1445381826112927E-6,9.901326095130167E-5,0.5820840376187768,9.79847905345342E-5,4.523500540270728E-5,0.27185640678173095
511,liv_001781_TEI.xml,0.012718532786230412,1.0110738794074591E-4,7.721249584658126E-5,0.01838944572893476,2.790212722868979E-6,0.0017422670572734096,0.41043729614631264,0.0032406473522509837,1.102761703464689E-4,0.5531804246621411
512,liv_001788_TEI.xml,0.02473604685508541,8.556766695379662E-5,6.53453052623973E-5,0.03588640929478842,2.361370398972424E-6,2.0428063219586032E-4,0.40832505041639355,2.021587286759335E-4,0.008984785546645464,0.5215079941836002
513,liv_001796_TEI.xml,0.25979658999802413,0.013800348284148427,4.418601350428113E-5,2.1677120406162685E-4,1.5967412489485609E-6,1.3813305694454454E-4,0.30015574184393445,9.956037451085424E-4,0.0043576347175252085,0.4204933943954997
514,liv_001802_TEI.xml,0.048242919334442275,4.484210975735301E-5,3.424449275082337E-5,0.05275499904390038,1.2374864756527947E-6,7.727123823499527E-4,0.6147107779696533,0.001437258613976631,4.8908553914922095E-5,0.28195210001277854
515,liv_001808_TEI.xml,5.92308015785437E-4,8.417766571758242E-5,6.428380553558377E-5,0.006563240871640674,2.3230111928542577E-6,0.0089479834865466,0.12053777158524522,0.40506100279604185,9.181119988462588E-5,0.45805509756240953
516,liv_001809_TEI.xml,0.12032399495051158,7.758517117907483E-5,5.9249327170150775E-5,0.0025940944948658977,2.141081241824683E-6,0.03934344018526754,0.25736513946375983,0.012852134396007391,8.462087417704569E-5,0.5672976000558196
517,liv_001810_TEI.xml,0.05098288706019269,1.2972971621929321E-4,9.90704574489717E-5,0.01589219881799441,3.5800895671579308E-6,3.0971124242731174E-4,0.002817510763116165,3.0649421020843094E-4,1.4149407452976583E-4,0.9293173235682958
518,liv_001815_TEI.xml,0.00540230603468211,6.648267844286292E-5,5.077070664853415E-5,0.0259085117650206,1.8346910054722832E-6,1.5871793711187007E-4,0.5077243189461688,1.570693023597008E-4,0.009941525743478747,0.45058846219508125
519,liv_001816_TEI.xml,0.15904500370262167,6.635171324314189E-5,5.067069269163683E-5,0.013053029229986956,1.8310768208517798E-6,0.004098234500675434,0.38557439674264776,0.0021266745014194063,7.236872578163047E-5,0.4359114391141115
520,liv_001817_TEI.xml,0.09834207276493695,1.0604122241255813E-4,8.09803082826594E-5,3.972795357520317E-4,2.926369417213094E-6,2.5315833333350063E-4,0.18805011766148488,2.505287274192007E-4,1.1565742271344436E-4,0.7124012376542476
